ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,SPSB3,,,,,,,,,,,,VTI1B,,,,,VGLL4,,,UBL5,,,,,,,,,,,,,PRKAG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUTM2B-AS1,,,,,,,
,SREK1IP1,,,,,,,,,,,,WDR18,,,,,VMA21,,,UBXN4,,,,,,,,,,,,,PRKAR2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAZ1,,,,,,,
,SRP14,,,,,,,,,,,,WDR46,,,,,VPS26A,,,UCP2,,,,,,,,,,,,,PRKCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGDH,,,,,,,
,SRP19,,,,,,,,,,,,WDTC1,,,,,VPS37B,,,UFC1,,,,,,,,,,,,,PRKRIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPTN,,,,,,,
,SRP72,,,,,,,,,,,,WIPI2,,,,,VRK3,,,UGGT1,,,,,,,,,,,,,PRMT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSTC,,,,,,,
,SRSF1,,,,,,,,,,,,XRCC5,,,,,WBP1,,,UNC45A,,,,,,,,,,,,,PRPF18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTUB1,,,,,,,
,SRSF2,,,,,,,,,,,,YPEL5,,,,,WDR11,,,UQCRH,,,,,,,,,,,,,PRPSAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTUD6B-AS1,,,,,,,
,SRSF7,,,,,,,,,,,,ZC3HAV1,,,,,WDR45,,,URM1,,,,,,,,,,,,,PSMA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTULIN,,,,,,,
,SSR4,,,,,,,,,,,,ZDHHC24,,,,,WDR82,,,UROS,,,,,,,,,,,,,PSMB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAFAH1B1,,,,,,,
,STAU1,,,,,,,,,,,,ZFAND3,,,,,WDR83,,,USP7,,,,,,,,,,,,,PSMB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAGR1,,,,,,,
,STK19,,,,,,,,,,,,ZFP36L1,,,,,XBP1,,,UTP23,,,,,,,,,,,,,PSMB7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAM16,,,,,,,
,STX10,,,,,,,,,,,,ZMYND11,,,,,XPA,,,UTP3,,,,,,,,,,,,,PSMD14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAN3,,,,,,,
,STX4,,,,,,,,,,,,ZNF207,,,,,YPEL1,,,UXT,,,,,,,,,,,,,PSMD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK7,,,,,,,
,SUGP2,,,,,,,,,,,,ZNF44,,,,,ZBTB16,,,VAPA,,,,,,,,,,,,,PTGDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARVG,,,,,,,
,SUPV3L1,,,,,,,,,,,,ZNF451,,,,,ZC3H18,,,VASP,,,,,,,,,,,,,PTGES3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCBP1,,,,,,,
,SURF1,,,,,,,,,,,,ZNF493,,,,,ZDHHC12,,,VDAC1,,,,,,,,,,,,,PTK2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCMT1,,,,,,,
,SZRD1,,,,,,,,,,,,ZNF644,,,,,ZEB2,,,VMP1,,,,,,,,,,,,,PTMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDCD4,,,,,,,
,TAF8,,,,,,,,,,,,ZNF669,,,,,ZFAND2A,,,WDR48,,,,,,,,,,,,,PTPN12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDCD6IP,,,,,,,
,TAPBPL,,,,,,,,,,,,,,,,,ZFP36,,,WIPF1,,,,,,,,,,,,,PTPN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIA3,,,,,,,
,TAZ,,,,,,,,,,,,,,,,,ZNF160,,,WTAP,,,,,,,,,,,,,PYROXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIA4,,,,,,,
,TFIP11,,,,,,,,,,,,,,,,,ZNF33A,,,YBX1,,,,,,,,,,,,,RAB11A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDIA6,,,,,,,
,TIMM17B,,,,,,,,,,,,,,,,,ZNF518A,,,YIPF3,,,,,,,,,,,,,RABGAP1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDLIM1,,,,,,,
,TIMM9,,,,,,,,,,,,,,,,,ZNF800,,,YME1L1,,,,,,,,,,,,,RABGGTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEX19,,,,,,,
,TINF2,,,,,,,,,,,,,,,,,ZRANB2,,,YPEL5,,,,,,,,,,,,,RAD23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEX2,,,,,,,
,TIPRL,,,,,,,,,,,,,,,,,ZYX,,,YWHAB,,,,,,,,,,,,,RAMP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGK1,,,,,,,
,TMBIM6,,,,,,,,,,,,,,,,,,,,YWHAZ,,,,,,,,,,,,,RANBP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PGLS,,,,,,,
,TMEM126A,,,,,,,,,,,,,,,,,,,,ZBTB10,,,,,,,,,,,,,RAP1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHF20,,,,,,,
,TMEM126B,,,,,,,,,,,,,,,,,,,,ZBTB11,,,,,,,,,,,,,RAP1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHPT1,,,,,,,
,TMEM134,,,,,,,,,,,,,,,,,,,,ZBTB2,,,,,,,,,,,,,RAPGEF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHTF1,,,,,,,
,TMEM173,,,,,,,,,,,,,,,,,,,,ZC3H15,,,,,,,,,,,,,RASA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PI4KB,,,,,,,
,TMEM189,,,,,,,,,,,,,,,,,,,,ZFAND5,,,,,,,,,,,,,RASSF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGT,,,,,,,
,TMEM205,,,,,,,,,,,,,,,,,,,,ZFP36,,,,,,,,,,,,,RBBP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PILRB,,,,,,,
,TMEM223,,,,,,,,,,,,,,,,,,,,ZMAT2,,,,,,,,,,,,,RBM18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN1,,,,,,,
,TMEM230,,,,,,,,,,,,,,,,,,,,ZMPSTE24,,,,,,,,,,,,,RBM22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKM,,,,,,,
,TMEM70,,,,,,,,,,,,,,,,,,,,ZMYM5,,,,,,,,,,,,,RBM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAC8,,,,,,,
,TMSB10,,,,,,,,,,,,,,,,,,,,ZNF148,,,,,,,,,,,,,RBM38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLD3,,,,,,,
,TOMM22,,,,,,,,,,,,,,,,,,,,ZNF281,,,,,,,,,,,,,RBM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLGRKT,,,,,,,
,TOR2A,,,,,,,,,,,,,,,,,,,,ZNF32,,,,,,,,,,,,,RBM8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLSCR1,,,,,,,
,TOX,,,,,,,,,,,,,,,,,,,,ZNF410,,,,,,,,,,,,,RDH14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNRC1,,,,,,,
,TPI1,,,,,,,,,,,,,,,,,,,,ZNF518A,,,,,,,,,,,,,REV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2A,,,,,,,
,TPM3,,,,,,,,,,,,,,,,,,,,ZNF644,,,,,,,,,,,,,RFC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2C,,,,,,,
,TPP2,,,,,,,,,,,,,,,,,,,,ZNF706,,,,,,,,,,,,,RGCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2F,,,,,,,
,TPT1,,,,,,,,,,,,,,,,,,,,ZSCAN18,,,,,,,,,,,,,RGS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2G,,,,,,,
,TRA2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2K,,,,,,,
,TRA2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMDN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLR2L,,,,,,,
,TRPM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNASEH2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POP5,,,,,,,
,TSC22D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPM1A,,,,,,,
,TSPAN14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPM1G,,,,,,,
,TSPAN31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP1CA,,,,,,,
,TSPAN32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP1R12A,,,,,,,
,TSR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP2CA,,,,,,,
,TTC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP2R1A,,,,,,,
,TTC28-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP3CB,,,,,,,
,TTC32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP4C,,,,,,,
,TUBA1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP6R2,,,,,,,
,TXNDC17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRDX1,,,,,,,
,U2SURP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRDX3,,,,,,,
,UBA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL13A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRELID1,,,,,,,
,UBA52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRKDC,,,,,,,
,UBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRMT1,,,,,,,
,UBE2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRNP,,,,,,,
,UBE2L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL18A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRPF6,,,,,,,
,UBE2V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRR13,,,,,,,
,UBL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRRC2C,,,,,,,
,UBL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRSS23,,,,,,,
,UBN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMA4,,,,,,,
,UBXN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMA5,,,,,,,
,UGP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMB1,,,,,,,
,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMB8,,,,,,,
,UQCRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL27A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMC1,,,,,,,
,USP15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMC4,,,,,,,
,USP36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMD11,,,,,,,
,VAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMD14,,,,,,,
,VAV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMD6,,,,,,,
,VEZF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSMG2,,,,,,,
,VHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTAR1,,,,,,,
,VPS13C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTGER2,,,,,,,
,VPS51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL36A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTGES3,,,,,,,
,VTI1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL36AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTP4A2,,,,,,,
,WAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPMT1,,,,,,,
,WBP11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL37A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPN12,,,,,,,
,WBP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPN18,,,,,,,
,WDR13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPRA,,,,,,,
,WDR83OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPRC,,,,,,,
,WDTC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTPRE,,,,,,,
,XIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYCR2,,,,,,,
,XRCC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYURF,,,,,,,
,YPEL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRICH1,,,,,,,
,YTHDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB11B,,,,,,,
,YWHAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB14,,,,,,,
,ZBTB25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPLP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB37,,,,,,,
,ZBTB8OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPRD1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB6A,,,,,,,
,ZC3H15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB8A,,,,,,,
,ZCCHC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RABAC1,,,,,,,
,ZDHHC17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RABL6,,,,,,,
,ZFAND6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAC2,,,,,,,
,ZFAS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS15A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RACK1,,,,,,,
,ZMYND11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAD23B,,,,,,,
,ZNF148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAN,,,,,,,
,ZNF277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP1A,,,,,,,
,ZNF331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP1B,,,,,,,
,ZNF33A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBBP4,,,,,,,
,ZNF830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBBP7,,,,,,,
,ZNF831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBCK1,,,,,,,
,ZRANB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBM33,,,,,,,
,ZSWIM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBM7,,,,,,,
,ZYX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBMS1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS27A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBX1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECQL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REEP5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGS2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS4X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHEB,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHOA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHOC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHOH,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIT1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSL24D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNASEH2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF145,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S100A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF166,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF187,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF216,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNPEPL1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RORA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPA1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCFD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCNM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL22L1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL35,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPL8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS6KB2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSBN1L,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC61G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSRP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTN4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNX1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1PR1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1PR4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMD3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMM50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF3B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP30BP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFSWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARAF,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3BP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARS,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SART1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASH3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBF2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAF11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDCBP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDF2L1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC25A42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDHB,,,,,,,
